	Is ad		Related ad domain	Suspect domain	Ad blocked	Suspect blocked	Ad first appear	Suspect first appear	Related reasons	Similar paths			
169	v	24	ozdpxc.com	qtjscx.com	2020-04-22	X	2020-04-29	2021-01-30	dns				
170	v	0	a02342.chorleycitizen.co.uk	a02342.chesterstandard.co.uk	2021-01-31	X	2020-09-13	2020-09-26	dns	cert	/wrapperMessagingWithoutDetection.js (103)		
171	v	1	a02342.salisburyjournal.co.uk	a02342.chesterstandard.co.uk	2021-01-31	X	2020-09-30	2020-09-26	dns	/wrapperMessagingWithoutDetection.js (103)			
172	v	2	a02342.bournemouthecho.co.uk	a02342.chesterstandard.co.uk	2021-01-31	X	2020-09-25	2020-09-26	dns	cert	/wrapperMessagingWithoutDetection.js (103)		
173	v	3	a02342.echo-news.co.uk	a02342.chesterstandard.co.uk	2021-01-31	X	2020-09-17	2020-09-26	dns	cert	/wrapperMessagingWithoutDetection.js (103)		
174	v	4	a02342.dorsetecho.co.uk	a02342.chesterstandard.co.uk	2021-01-31	X	2020-09-16	2020-09-26	dns	cert	/wrapperMessagingWithoutDetection.js (103)		
175	v	0	quwtaxxe.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-03-22	2020-05-08	dns	cert			
176	v	1	nuhmsqwj.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-09-03	2020-05-08	dns	cert			
177	v	2	drcuyatf.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-04-27	2020-05-08	dns	cert			
178	v	3	dddnfqmq.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-09-15	2020-05-08	dns	cert			
179	v	4	cagksrkf.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-07-01	2020-05-08	dns	cert			
180	v	5	ucfjovxc.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-10-27	2020-05-08	dns	cert			
181	v	6	qzagebzj.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-11-03	2020-05-08	dns	cert			
182	v	7	sbifqivp.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-03-29	2020-05-08	dns	cert			
183	v	8	fdjaruod.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-06-18	2020-05-08	dns	cert			
184	v	9	nzccloiv.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-05-02	2020-05-08	dns	cert			
185	v	10	yvgaocjf.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-11-19	2020-05-08	dns	cert			
186	v	11	gisibalv.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-05-31	2020-05-08	dns	cert			
